profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_true_k,tb_obs_k,noise_k,nedt_k,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
24,t03_loc00,2020-01-01T18:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,231.98727156818134,231.20987488075826,-0.7773966874230795,0.7,278.96087646484375,195.11752319335938,282.2708740234375,240.70891055545292,4.638002672869161e-06,0.007777074184961086
25,t03_loc01,2020-01-01T18:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,272.21240169058075,271.45940843073834,-0.7529932598424376,0.3,278.99407958984375,195.35678100585938,282.4134521484375,240.66686558079076,4.639219290270472e-06,0.0076795451809307715
25,t03_loc01,2020-01-01T18:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,261.2179261238508,259.8619283684022,-1.3559977554486657,0.5,278.99407958984375,195.35678100585938,282.4134521484375,240.66686558079076,4.639219290270472e-06,0.0076795451809307715
25,t03_loc01,2020-01-01T18:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,231.94787069746522,231.80993075008018,-0.13793994738503543,0.7,278.99407958984375,195.35678100585938,282.4134521484375,240.66686558079076,4.639219290270472e-06,0.0076795451809307715
26,t03_loc02,2020-01-01T18:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,272.0936607290506,272.11373414174625,0.02007341269566523,0.3,278.92767333984375,195.83627319335938,282.2083740234375,240.50911114666914,4.643149900348829e-06,0.0075177968433273856
26,t03_loc02,2020-01-01T18:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,261.05070009522626,261.1081766616763,0.05747656645002724,0.5,278.92767333984375,195.83627319335938,282.2083740234375,240.50911114666914,4.643149900348829e-06,0.0075177968433273856
26,t03_loc02,2020-01-01T18:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,231.80911253908494,233.4352358851039,1.6261233460189832,0.7,278.92767333984375,195.83627319335938,282.2083740234375,240.50911114666914,4.643149900348829e-06,0.0075177968433273856
27,t03_loc03,2020-01-01T18:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,272.1749274110215,271.6914998848613,-0.4834275261602154,0.3,278.99407958984375,195.72006225585938,282.4818115234375,240.57184868889885,4.641839696987242e-06,0.007544107763977526
27,t03_loc03,2020-01-01T18:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,261.13830543104217,260.2222625705793,-0.9160428604628882,0.5,278.99407958984375,195.72006225585938,282.4818115234375,240.57184868889885,4.641839696987242e-06,0.007544107763977526
27,t03_loc03,2020-01-01T18:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,231.85728258621043,232.17822841474532,0.32094582853488535,0.7,278.99407958984375,195.72006225585938,282.4818115234375,240.57184868889885,4.641839696987242e-06,0.007544107763977526
28,t03_loc04,2020-01-01T18:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,271.0273130563914,271.1300691780514,0.10275612165997203,0.3,277.17181396484375,195.15463256835938,281.9036865234375,241.15237550477724,4.662054263375142e-06,0.0073506651292776426
28,t03_loc04,2020-01-01T18:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,260.78276758490836,259.9772736393556,-0.8054939455527753,0.5,277.17181396484375,195.15463256835938,281.9036865234375,241.15237550477724,4.662054263375142e-06,0.0073506651292776426
28,t03_loc04,2020-01-01T18:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,232.11979508650776,231.54697122769227,-0.5728238588155057,0.7,277.17181396484375,195.15463256835938,281.9036865234375,241.15237550477724,4.662054263375142e-06,0.0073506651292776426
29,t03_loc05,2020-01-01T18:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.9810656007844,270.9929140072374,0.011848406453017818,0.3,277.10150146484375,195.26498413085938,282.0501708984375,241.17407102842589,4.6628965369856685e-06,0.007285678802539976
