profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr,evaluation_split,profile_class,noise_case,feature_case,model_name,target_name,y_true_k,y_pred_k,residual_k,tb_obs_50_3,tb_obs_52_8,tb_obs_54_4,tb_obs_degraded_50_3,tb_obs_degraded_52_8,tb_obs_degraded_54_4
30,winter_midlatitude_maritime_sample_t01_loc10,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc00,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,276.01282755533856,211.66241370307077,0.0009904817078708,0.0027757518525547,1.540311229702158e-05,4.662213651957621e-06,0.0072323192194563,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.01282755533856,277.28181882616195,1.268991270823392,270.9594599584385,260.6734050409574,230.97486042430535,,,
31,winter_midlatitude_maritime_sample_t01_loc11,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc01,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,276.1054382324219,211.69507344563803,0.0009821549120073,0.0027460350138707,1.5290610845391712e-05,4.660435518782388e-06,0.0072408284738025,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1054382324219,277.28143133378927,1.1759931013673963,270.80460752157643,260.78438941375475,231.03999554333072,,,
32,winter_midlatitude_maritime_sample_t01_loc12,2020-01-01T06:00:00.000000000,57.25,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc02,277.8721923828125,194.31475830078125,278.6077880859375,239.79291678763724,276.0178731282552,211.39114634195963,0.0010067601232193,0.0028305013178222,1.5272790643422273e-05,4.664319335986011e-06,0.0074559103110697,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.0178731282552,277.2817977149782,1.2639245867230215,271.20674313228074,260.4082234374723,230.2881978456185,,,
33,winter_midlatitude_maritime_sample_t01_loc13,2020-01-01T06:00:00.000000000,57.25,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc03,277.7882080078125,194.13800048828125,278.7620849609375,239.82123710013724,276.1186218261719,211.41599443223743,0.000998386916003,0.0028012019722901,1.5100902329025312e-05,4.662494409827755e-06,0.0074636481352201,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1186218261719,277.28137617230914,1.1627543461372625,270.64745464307566,260.3137946185556,230.6571742440619,,,
34,winter_midlatitude_maritime_sample_t01_loc14,2020-01-01T06:00:00.000000000,57.0,10.5,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc04,277.3428955078125,194.49346923828125,278.8265380859375,239.9502749056429,276.1064147949219,211.7318572998047,0.0009740698542789,0.0027159804216019,1.528746149483775e-05,4.658610592632949e-06,0.0072508849809078,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1064147949219,277.2814272477537,1.1750124528318224,271.0643444408345,260.0756109665493,231.71831359837344,,,
35,winter_midlatitude_maritime_sample_t01_loc15,2020-01-01T06:00:00.000000000,57.0,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc00,277.1456298828125,194.14483642578125,278.5296630859375,239.8955874056429,275.87562052408856,211.8134002685547,0.0009865613925621,0.0027496726652474,1.5145593513388938e-05,4.654352431633701e-06,0.0073444938629211,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,275.87562052408856,277.28239291415883,1.406772390070273,270.6581182677858,260.1099157667825,231.23490640006256,,,
36,winter_midlatitude_maritime_sample_t01_loc16,2020-01-01T06:00:00.000000000,57.0,10.75,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc01,277.2374267578125,194.32940673828125,278.7073974609375,239.9260455982105,276.0126647949219,211.77124532063803,0.0009815242224337,0.0027354216607599,1.5294093820828683e-05,4.656551701597529e-06,0.0073042639228637,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.0126647949219,277.28181950716794,1.2691547122460634,270.660865775317,259.2174070940236,232.3724943223122,,,
37,winter_midlatitude_maritime_sample_t01_loc17,2020-01-01T06:00:00.000000000,57.25,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc02,277.5323486328125,193.43292236328125,278.7152099609375,239.800650106894,276.0116882324219,211.52347056070963,0.0009962625448648,0.0027925480010529,1.4420149565682258e-05,4.655990185861512e-06,0.0075665682468511,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.0116882324219,277.2818235932035,1.2701353607816372,270.5913418106098,259.7097364048664,230.89958489828604,,,
38,winter_midlatitude_maritime_sample_t01_loc18,2020-01-01T06:00:00.000000000,57.25,10.75,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc03,277.6065673828125,193.68682861328125,278.8363037109375,239.8262254869616,276.1262715657552,211.4831059773763,0.0009926081445097,0.0027813833501354,1.465005076729528e-05,4.658283041786052e-06,0.0075340657420659,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1262715657552,277.28134416503053,1.1550725992753428,270.4168006927072,259.8280440050008,230.4121091880998,,,
39,winter_midlatitude_maritime_sample_t01_loc19,2020-01-01T06:00:00.000000000,57.25,10.5,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc04,277.7003173828125,193.92608642578125,278.8284912109375,239.83440749709672,276.1643575032552,211.44691891140408,0.0009891539209223,0.0027700656043176,1.4881863788561066e-05,4.6607162766519006e-06,0.007488409670704,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1643575032552,277.2811848096435,1.116827306388302,270.73780685549127,259.45816450505447,231.2136163320055,,,
40,winter_midlatitude_maritime_sample_t02_loc00,2020-01-01T12:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,278.0008544921875,195.8383026123047,281.2697448730469,239.71837925266576,276.95476786295575,210.4888712565104,0.0012998717255164,0.0037956086159046,1.4789493269000483e-05,4.676302725405363e-06,0.0072472829964193,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.95476786295575,277.27787765332675,0.3231097903710065,271.0295340045888,261.54365854637496,230.79261135304367,,,
41,winter_midlatitude_maritime_sample_t02_loc01,2020-01-01T12:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,278.0906982421875,195.5494537353516,281.1779479980469,239.7505530280036,276.98650614420575,210.541008843316,0.0012756868552462,0.0037184837828234,1.506538336598536e-05,4.676583483280417e-06,0.0072186610867402,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.98650614420575,277.2777448571709,0.29123871296513926,271.10119127418267,261.5610036183396,231.5957744245219,,,
