profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,frequency_ghz,tb_base_k,dTb_lower_k,dTb_upper_k,nedt_k,lower_ratio,upper_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr
13,winter_midlatitude_maritime_sample_t00_loc13,2020-01-01T00:00:00.000000000,57.25,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc03,50.3,270.8301299196146,0.14775973590519698,0.09146237570183757,0.3,0.4925324530173233,0.3048745856727919,278.0556640625,195.58468627929688,278.0556640625,239.1051314070418,274.17974853515625,211.49421776665582,0.0013416782607599718,0.0033246379805898403,1.1672685561356129e-05,4.65419304305278e-06,0.007490888284170735
13,winter_midlatitude_maritime_sample_t00_loc13,2020-01-01T00:00:00.000000000,57.25,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc03,52.8,259.5794787726228,0.2522611843528466,0.1851718072116455,0.5,0.5045223687056932,0.370343614423291,278.0556640625,195.58468627929688,278.0556640625,239.1051314070418,274.17974853515625,211.49421776665582,0.0013416782607599718,0.0033246379805898403,1.1672685561356129e-05,4.65419304305278e-06,0.007490888284170735
13,winter_midlatitude_maritime_sample_t00_loc13,2020-01-01T00:00:00.000000000,57.25,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc03,54.4,231.1515028604871,0.10095148043234303,0.49079212535630745,0.7,0.1442164006176329,0.7011316076518679,278.0556640625,195.58468627929688,278.0556640625,239.1051314070418,274.17974853515625,211.49421776665582,0.0013416782607599718,0.0033246379805898403,1.1672685561356129e-05,4.65419304305278e-06,0.007490888284170735
14,winter_midlatitude_maritime_sample_t00_loc14,2020-01-01T00:00:00.000000000,57.0,10.5,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc04,50.3,270.6750168218162,0.14801103716291664,0.09116892277165789,0.3,0.4933701238763888,0.30389640923885963,277.8740234375,195.48800659179688,277.8740234375,239.15747029072529,273.86887613932294,211.80210622151694,0.0013217712742953018,0.003279798542291278,1.057880919050207e-05,4.649186194435157e-06,0.00694166841445616
14,winter_midlatitude_maritime_sample_t00_loc14,2020-01-01T00:00:00.000000000,57.0,10.5,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc04,52.8,259.47323382968096,0.25241426046483184,0.184815380660325,0.5,0.5048285209296637,0.36963076132065,277.8740234375,195.48800659179688,277.8740234375,239.15747029072529,273.86887613932294,211.80210622151694,0.0013217712742953018,0.003279798542291278,1.057880919050207e-05,4.649186194435157e-06,0.00694166841445616
14,winter_midlatitude_maritime_sample_t00_loc14,2020-01-01T00:00:00.000000000,57.0,10.5,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc04,54.4,231.19633939931146,0.1009157432831671,0.49087794666465356,0.7,0.14416534754738158,0.7012542095209338,277.8740234375,195.48800659179688,277.8740234375,239.15747029072529,273.86887613932294,211.80210622151694,0.0013217712742953018,0.003279798542291278,1.057880919050207e-05,4.649186194435157e-06,0.00694166841445616
15,winter_midlatitude_maritime_sample_t00_loc15,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc00,50.3,270.6531155931127,0.14887548503077142,0.09108700123516655,0.3,0.49625161676923807,0.3036233374505552,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,273.55995686848956,211.96470387776694,0.0013339895071591422,0.0032971004797122017,1.0172923160007654e-05,4.647595233198703e-06,0.006761512857011655
15,winter_midlatitude_maritime_sample_t00_loc15,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc00,52.8,259.3616455811308,0.25297175534353755,0.18460988687138524,0.5,0.5059435106870751,0.3692197737427705,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,273.55995686848956,211.96470387776694,0.0013339895071591422,0.0032971004797122017,1.0172923160007654e-05,4.647595233198703e-06,0.006761512857011655
15,winter_midlatitude_maritime_sample_t00_loc15,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc00,54.4,231.13162609235036,0.10100087682246794,0.49085756141721504,0.7,0.14428696688923992,0.7012250877388787,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,273.55995686848956,211.96470387776694,0.0013339895071591422,0.0032971004797122017,1.0172923160007654e-05,4.647595233198703e-06,0.006761512857011655
16,winter_midlatitude_maritime_sample_t00_loc16,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc01,50.3,270.6854317199108,0.14852213736008935,0.09114183666895315,0.3,0.4950737912002978,0.3038061222298438,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,273.70448811848956,211.88354068332248,0.0013299096111686016,0.0032922728349955824,1.0433131805012732e-05,4.64857788572673e-06,0.006876714995531997
