target_name,noise_factor,setup_type,group_name,model_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
upper_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,linear_regression,240,1.6956417167625522,0.9787569537319115,0.002419955940918091,6.669423297192855,0.2542411301853106,4.898738779373546
upper_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,ridge_regression,240,1.6919906619726737,0.9789948579818168,0.0022833847393468904,6.669423297192855,0.2536936983269346,5.103510761491314
lower_layer_mean_temperature_k,5.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,5.0,global,all_era5,linear_regression,240,2.0673521946420315,1.6668589277250527,0.004539719299484801,14.459286213124718,0.14297747234337835,85.7618267124719
lower_layer_mean_temperature_k,5.0,global,all_era5,ridge_regression,240,2.074187486465653,1.6718441877552546,0.004559771969692624,14.459286213124718,0.14345019912413862,85.71475100388786
lower_layer_mean_temperature_k,5.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,5.0,source_name,high_latitude_continental_2020,linear_regression,60,1.229464743766218,0.9590555505230427,-0.0025231144511626744,1.9301439415397743,0.636980857907111,37.36354897246734
lower_layer_mean_temperature_k,5.0,source_name,high_latitude_continental_2020,ridge_regression,60,1.2280259661857387,0.9587444756510014,-0.0025011383420339445,1.9301439415397743,0.6362354328900878,37.43684909914129
lower_layer_mean_temperature_k,5.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,5.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.41098607765713063,0.33122659088235706,-0.0005314354245928144,0.43612274359400777,0.94236332246805,6.706031075663022
lower_layer_mean_temperature_k,5.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.4108805598849678,0.3307163928142046,-0.0005237293398789688,0.43612274359400777,0.9421213773420213,6.729983643139869
lower_layer_mean_temperature_k,5.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,5.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.4110106532854703,1.1641411014042333,0.0017019862499537907,1.3739092584337618,1.027004254192161,-1.4166701014760807
lower_layer_mean_temperature_k,5.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.4102646546574131,1.1635273277278741,0.0016642581182480854,1.3739092584337618,1.02646127901132,-1.3630513023680457
