profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,260.20050504900263,260.19612938487364,260.2048302168492,-0.004375664128986045,0.004325167846559452,0.5,0.00875132825797209,0.008650335693118905,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,231.49703246636142,231.49603016332767,231.4980283541844,-0.0010023030337436012,0.0009958878229952006,0.7,0.0014318614767765733,0.0014226968899931438,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.82564465567987,270.8194831382405,270.83172500417464,-0.0061615174393523375,0.006080348494776899,0.3,0.020538391464507793,0.020267828315922998,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,52.8,260.1604510495389,260.15614750090936,260.16470690451257,-0.004303548629536635,0.004255854973678197,0.5,0.00860709725907327,0.008511709947356394,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,54.4,231.46586833719306,231.46486283403786,231.46686755430872,-0.0010055031551985394,0.0009992171156625318,0.7,0.0014364330788550564,0.0014274530223750456,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
14,t01_loc06,2020-01-01T06:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,50.3,270.5592392294311,270.5532843435429,270.5651218155468,-0.005954885888229455,0.005882586115660615,0.3,0.01984961962743152,0.019608620385535385,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
14,t01_loc06,2020-01-01T06:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,52.8,259.92771022894016,259.9234906180223,259.93188658959684,-0.004219610917857608,0.004176360656686029,0.5,0.008439221835715216,0.008352721313372058,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
14,t01_loc06,2020-01-01T06:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,54.4,231.35668923050554,231.35568275952915,231.35768958739135,-0.001006470976392393,0.0010003568858110157,0.7,0.0014378156805605613,0.0014290812654443083,277.1456298828125,194.14483642578125,278.5296630859375,239.89558740564294,4.654352431633701e-06,0.007344493862921158
15,t01_loc07,2020-01-01T06:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,50.3,270.64910163747805,270.64309320722504,270.6550357334431,-0.00600843025301856,0.005934095965073993,0.3,0.0200281008433952,0.019780319883579978,277.2374267578125,194.32940673828125,278.7073974609375,239.92604559821052,4.656551701597529e-06,0.007304263922863749
15,t01_loc07,2020-01-01T06:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,52.8,260.0103470642505,260.00609624728247,260.0145535667977,-0.00425081696801044,0.00420650254721977,0.5,0.00850163393602088,0.00841300509443954,277.2374267578125,194.32940673828125,278.7073974609375,239.92604559821052,4.656551701597529e-06,0.007304263922863749
